title,description,genres,emotions,emojis
The Adventures of Puss in Boots,"The world's greatest feline fighter, lover and milk connoisseur is back in this original series filled with daring adventures, great boots, and laugh-out-loud fun! The entire family will be entranced by Puss' fantastical CG world filled with new characters, exotic locations and mystical tales that make up the stuff of legends. There's nothing that can get in this celebrated swashbuckling kitty's way...except maybe a hairball.","['comedy', 'family', 'animation', 'action', 'fantasy', 'western']","[fun, laughter, excitement, curiosity, joy, amusement, surprise, delight]",🐱👢🌍🗡️🥛🤣🤯😄
Two Catalonias,Lawmakers and activists with conflicting ideologies speak about the complexities of Catalonia's politics and the fight for its independence from Spain.,"['documentation', 'history', 'european']","[intrigue, empathy, conflict, tension, curiosity, frustration, hope, reflection]",🤔🔥🤝🔀💡🤬🙏🤔
Blippi The Musical,The energetic and fun Blippi brings all his previous adventures and lessons on stage that'll make everyone sing and dance along.,"['music', 'family']","[joy, enthusiasm, nostalgia, happiness, energy, entertainment, amusement, positivity]",🎶💃
Inspector Koo,"A reclusive ex-cop reenters the game as an insurance investigator, searching for clues in crime scenes perfectly staged by a serial killer in her midst.","['comedy', 'drama', 'thriller', 'crime', 'action']","[suspense, intrigue, curiosity, fear, amusement, anticipation, satisfaction, surprise]",🕵️‍♀️🔎🔪🧩🎭🕰️🤔🎉
The Pentaverate,"After influencing global events for centuries, a secret society faces a dangerous threat from within. Can a Canadian reporter save them — and the world?",['comedy'],"[humor, suspense, curiosity, patriotism, surprise, relief, amusement, satisfaction]",🕵️‍♀️🌍📰🇨🇦🔒🔎💥🎉
Baadshaho,"Emergency has been declared in India. Maharani Gitanjali from one of Rajasthan's princely states has already lost her privy purse. Now, she fears that she will lose the last treasure chest of gold which has been forcibly taken away from her. So she asks her trusted lieutenant, Bhawani to step in and plan a heist.","['action', 'thriller']","[suspense, intrigue, anticipation, thrill, loyalty, courage, tension, satisfaction]",🕵️‍♂️💰🗝️🚁🔫🏰🔒💣
The Motive,"In Jerusalem 1986, a 14-year-old boy shoots his family point-blank in their beds. Yet questions persist. In this docuseries, insiders come forward.","['crime', 'documentation']","[shock, curiosity, disbelief, unease, confusion, horror, intrigue, fascination]",😱🤔😧😬🤷‍♂️😨🔍🤯
The Tree of Blood,"Marc and Rebeca, a young couple, travel to an old country house that used to belong to their family. Once there, they write the shared history of their roots, creating a huge family tree that harbours relationships of love, heartbreak, sex, madness, jealousy and infidelity, and under which also lies a history laden with secrets.","['drama', 'european']","love, heartbreak, curiosity, suspense, intrigue, betrayal, nostalgia, mystery",🌳🩸🔍💔🤔🤫😲🔒
The Minions of Midas,"Los Favoritos de Midas is based on the 1901 short story by Jack London. The six-part series follows Victor, a rich businessman, who is blackmailed in a strange way by a mysterious organization.","['crime', 'drama', 'thriller']","[suspense, intrigue, fear, curiosity, tension, anticipation, unease, mystery]",🕵️‍♂️💼🔍🔒💰🔮🎭🎥
The Ghost Bride,"In 1890s Malacca, Li Lan finds herself in the afterlife and becomes mired in a mystery linked to the sinister, deceased son of a wealthy family.",['drama'],"[mystery, intrigue, suspense, fear, curiosity, sadness, longing, hope]",👻🌺🔍🕰️💰✨🔮🌟
The Haunting in Connecticut 2: Ghosts of Georgia,"A young family moves into a historic home in Georgia, only to learn they are not the house's only inhabitants. Soon they find themselves in the presence of a secret rising from underground and threatening to bring down anyone in its path.","['thriller', 'horror', 'drama']","[fear, suspense, curiosity, shock, unease, dread, surprise, anticipation]",👻🏚️
Kidnapping Stella,"Snatched off the street and held for ransom, a bound and gagged woman uses her limited powers to derail her two masked abductors' carefully-laid plans.","['crime', 'thriller']","[fear, suspense, tension, helplessness, anticipation, survival, relief, satisfaction]",😱😬😨🤐🤔😰😌🙌
Isoken,"Everyone in the Osayande family worries about Isoken. She's beautiful, successful, and surrounded by great family and friends, but she's still single at 34--a serious cause for concern in a culture obsessed with marriage. At her youngest sister's wedding, their overbearing mother thrusts her into an orchestrated matchmaking with the ultimate Edo man: Osaze. He's handsome, successful, and from a good family, which makes him perfect Nigerian-husband material. But in an unexpected turn of events, Isoken meets Kevin and falls in love with him, and he just might be what she truly wants in a partner. The only problem: not only is he not an Edo man--he is Oyinbo (Caucasian). Isoken is a romantic dramedy that explores cultural expectation, racial stereotypes, and the bonds that unite families in touching, dramatic, and comedic ways.","['romance', 'comedy', 'drama']","[romance, comedy, drama, love, happiness, conflict, cultural, acceptance]",💑🤣🎭🌍🤝👥❤️
Mad for Each Other,"Bothered to realize they are next-door neighbors and share a psychiatrist, a man and a woman find it's impossible to stay out of each other's way.","['comedy', 'drama', 'romance']","[humor, frustration, curiosity, empathy, anticipation, affection, happiness, relief]",😂😫🔍❤️😬😍😊🎉
OMG: Oh My God!,A shopkeeper takes God to court when his shop is destroyed by an earthquake.,"['drama', 'fantasy', 'comedy']","[humor, curiosity, disbelief, inspiration, amusement, contemplation, empowerment, astonishment]",😂🤔😮🙏🏽🤣🤨🤯🤩
ReMastered: Tricky Dick & The Man in Black,"This documentary chronicles Johnny Cash's 1970 visit to the White House, where Cash's emerging liberal ideals clashed with Richard Nixon's policies.","['documentation', 'music']","[intrigue, conflict, curiosity, nostalgia, disillusionment, patriotism, rebellion, reflection]",🎵🏛️🎸🇺🇸💔🤔🎶🔥
Capitani,"In a Luxembourg village where everyone is keeping secrets, gruff police inspector Luc Capitani investigates the suspicious death of a 15-year-old girl.","['crime', 'drama', 'thriller']","[suspense, intrigue, curiosity, shock, empathy, tension, suspicion, unease]",🕵️‍♂️🔍💔🤔😱😨🕵️‍♀️😬
Unsolved Mysteries,"Real cases of perplexing disappearances, shocking murders and paranormal encounters fuel this gripping revival of the iconic documentary series.","['documentation', 'drama', 'thriller', 'crime']","[intrigue, suspense, fear, curiosity, astonishment, confusion, unease, fascination]",🕵️‍♀️🚶‍♂️👻🔍🤔😱🤯😬
Black Lightning,"Jefferson Pierce is a man wrestling with a secret. As the father of two daughters and principal of a charter high school that also serves as a safe haven for young people in a New Orleans neighborhood overrun by gang violence, he is a hero to his community.","['action', 'scifi', 'drama']","[bravery, suspense, empowerment, determination, hope, compassion, pride, justice]",🦸‍♂️🌩️👨‍👧‍👧🔥🌆🔦👊💡
Northern Rescue,"After the death of his wife, Sarah, John West, packs up his three children and moves from their hectic urban life to his small northern hometown to take command of the local search-and-rescue service. Once there, the family struggles with their new surroundings, new friends and accepting Sarah's death.","['drama', 'family']","[grief, resilience, nostalgia, hope, love, struggle, healing, acceptance]",👨‍👧‍👦🚁🏞️🌄🏔️🧡💔🌱🌈
My Next Guest with David Letterman and Shah Rukh Khan,"""King of Bollywood"" Shah Rukh Khan opens up about his rise to fame, his family and his billions of fans as he and Dave meet up in Mumbai and New York.",[],"[inspiration, curiosity, nostalgia, admiration, joy, anticipation, warmth, connection]",🌟📽️🎉🤩🗽🌏👑💖
Zach Stone Is Gonna Be Famous,"Zach hires a camera crew to film him throughout his daily life as a part of his quest to become an over-night celebrity - even though he possesses no real talent. From Zach's attempts to become a celebrity chef or a ring-tone recording artist to purposefully going missing, he'll try any avenue to get noticed and stop at nothing until he reaches fame.",['comedy'],"[humor, curiosity, amusement, disbelief, frustration, empathy, surprise, satisfaction]",🎥🌟🤔😂🙄😮😅👍
Persuasion,"Living with her snobby family on the brink of bankruptcy, Anne Elliot is an unconforming woman with modern sensibilities. When Frederick Wentworth - the dashing one she once sent away - crashes back into her life, Anne must choose between putting the past behind her or listening to her heart when it comes to second chances.","['romance', 'drama', 'comedy']","[romance, nostalgia, hope, regret, anticipation, happiness, heartbreak, satisfaction]",💔❤️🤔💭💕🌟🎉🥰
How To Build a Sex Room,Couples looking for more spice in the bedroom hire luxury interior designer Melanie Rose to create stylish spaces where they can carry out any fantasy they wish.,['reality'],"[intrigue, curiosity, excitement, titillation, surprise, satisfaction, amusement, empowerment]",🔥💑🏢🔐🎉🤔👀🙌
Special Correspondents,A radio journalist and his technician get in over their heads when they hatch a scheme to fake their own kidnapping during a rebel uprising in South America and hide out in New York instead.,['comedy'],"[humor, suspense, deception, mischief, absurdity, escapism, surprise, amusement]",🎙️📻📝🦜🛩️🌎🗽⚖️
Who Rules The World,"A legendary wuxia romance that focuses on the decade-long romance between Hei Fengxi and Bai Fengxi, and the adventures they embark on together.","['drama', 'fantasy', 'romance']","[romance, nostalgia, adventure, intrigue, suspense, passion, longing, enchantment]",❤️🌸🗡️🔥💔🌅🧚✨
Kitz,"A year after the tragic death of her brother, Lisi enters the decadent world of a Munich clique at a ski resort, but soon she kicks off an avalanche that reveals the truth behind the facade full of glamor, money and hedonism.","['drama', 'thriller']","[intrigue, suspense, shock, curiosity, betrayal, grief, guilt, redemption]",🗻🎭🔎🌪️💰💔🍾🌟
The Last Kids on Earth,"Young teenager Jack Sullivan and a group of friends live in a decked-out tree house, playing video games, eating candy, and fighting zombies in the aftermath of a monster apocalypse.","['animation', 'comedy', 'family', 'horror', 'scifi']","[adventure, excitement, humor, suspense, friendship, bravery, curiosity, nostalgia]",🧟‍♂️🎮🍭🌳🧑‍🤝‍🧑🧟‍♀️🧠🚀
Cobra Kai - The Afterparty,"Ralph Macchio, William Zabka and more from the ""Cobra Kai"" cast drop by to chat Season 3 (spoilers ahead!), followed by Bill Burr of ""F Is for Family.""",[],"[excitement, nostalgia, curiosity, laughter, surprise, satisfaction, anticipation, appreciation]",🎉🎭🤔😂😮😌🔥🙌
Detention,"During the period of martial law in 1960s Taiwan, some teachers and students from Cui Hua High School were arrested for possessing banned books. A female student fell to her death and rumors spread of a ghost haunting the campus. Thirty years later, the draconian culture of the school remains unchanged as a new transfer student uncovers the dark secrets behind the school’s haunting.","['drama', 'horror', 'thriller']","[suspense, fear, curiosity, nostalgia, intrigue, sorrow, shock, empowerment]",👻📚🔍🔒🏫👥👻💀
The Mansion,"A band of students comes to celebrate the New Year in an old manor house isolated from everything. But soon after their arrival, strange events disrupt the atmosphere, before the party turns squarely to the nightmare ...","['comedy', 'horror', 'european']","[fear, suspense, surprise, humor, curiosity, unease, thrill, shock]",👻🏰🎉🙀💥🤔😱😂
Kabhi Khushi Kabhie Gham,"Years after his father disowns his adopted brother for marrying a woman of lower social standing, a young man goes on a mission to reunite his family.","['drama', 'romance']","[love, empathy, nostalgia, family bonds, determination, forgiveness, sadness, joy]",🌟👨‍👩‍👦‍👦💔🤝💕🌹😢😄
Free to Play,"Follow three professional video game players as they overcome personal adversity, family pressures, and the realities of life to compete in a $1,000,000 tournament that could change their lives forever.","['documentation', 'action']","[inspiration, determination, suspense, triumph, empathy, nostalgia, excitement, anticipation]",🎮🌟💪🏆👨‍👩‍👧‍👦💼💰🌈🎉
Ghost in the Shell: SAC_2045,"After a global financial crisis, the world is engulfed in an AI-driven ""sustainable war."" It's up to Section 9 to counter new forms of cyber threats.","['scifi', 'action', 'animation', 'crime', 'drama', 'thriller']","[suspense, intrigue, excitement, curiosity, tension, awe, fear, determination]",🤖💥🌍🔒🔥🕵️‍♂️💻👊
Joe Mande's Award-Winning Comedy Special,"Stand-up comic Joe Mande aims for critical adulation with this special that covers dating shows, ""Shark Tank,"" Jewish summer camp and much more.","['comedy', 'documentation']","[laughter, amusement, nostalgia, entertainment, relatability, joy, appreciation, satisfaction]",😂🤣😄🎉👏🙌👍😊
Xico's Journey,"A girl, a dog and her best pal set out to save a mountain from a gold-hungry corporation. But the key lies closer to home, with her sidekick pup, Xico.","['family', 'fantasy', 'animation']","[adventure, friendship, determination, bravery, hope, joy, suspense, empowerment]",🌄🐕🏞️💰💪🌟🔍👧🐾
Pitta Kathalu,"Four different women, four journeys of love and betrayal. The common thread? They all want to dismantle the patriarchy.","['drama', 'romance']","[empowerment, anger, hope, empathy, anticipation, satisfaction, inspiration, reflection]",👩‍👩‍👧‍👦🔨🌹
Semesta,"Through the lens of faiths and cultures in seven provinces in Indonesia, this documentary follows individuals who strive to address climate change.",['documentation'],"[inspiration, empathy, hope, curiosity, concern, reflection, determination, appreciation]",🌍🙏🌱🌺🌤️🌊🌄👥
Walk. Ride. Rodeo.,"Tells the incredible true story of Amberley Snyder, a nationally ranked rodeo barrel racer who defies the odds after barely surviving a car accident that leaves her paralyzed from the waist down.",['drama'],"[inspiration, determination, resilience, empathy, awe, hope, triumph, admiration]",🏇🌟🌈🤕🚫🦽👩‍👧‍👦🏆
Ghosts of Sugar Land,"Shocked when their friend embraces extremism, a group of Muslim Americans in Texas recount their time with him and theories about his fate.",['documentation'],"[shock, curiosity, concern, empathy, intrigue, reflection, uncertainty, fear]",👥🤔🤯🕌🙏📚💔🕵️‍♀️
DreamWorks Home: For the Holidays,"Oh takes it upon himself to introduce Christmas joy to his fellow Boovs. Unfortunately, his well-meaning mission nearly destroys the city.","['scifi', 'fantasy', 'animation', 'comedy', 'family']","[humor, anticipation, cheerfulness, empathy, excitement, happiness, relief, nostalgia]",🎄🎅🤖🎁🏙️🎉💥🌟
Mike Birbiglia: The New One,Comedian Mike Birbiglia hits Broadway with a hilarious yet profound one-man show that recounts his emotional and physical journey to parenthood.,['comedy'],"[laughter, joy, nostalgia, empathy, reflection, amusement, warmth, relatability]",😂🤣😊🥰😢😄🔥👪
Midnight at the Pera Palace,"At a historic Istanbul hotel, a journalist is unexpectedly thrust into the past and must stop a plot that could change the fate of modern Turkey.","['thriller', 'drama', 'history']","[suspense, intrigue, nostalgia, curiosity, urgency, tension, patriotism, surprise]",🕵️‍♂️🇹🇷🔎💣📰🔮🧩🤯
Self/less,An extremely wealthy elderly man dying from cancer undergoes a radical medical procedure that transfers his consciousness to the body of a healthy young man but everything may not be as good as it seems when he starts to uncover the mystery of the body's origins and the secret organization that will kill to keep its secrets.,"['thriller', 'action', 'scifi', 'drama']","[suspense, curiosity, fear, intrigue, surprise, empathy, satisfaction, relief]",🕵️‍♂️🔎🧠🤔🔍👥💡🔓
Michael,"After accidentally shooting a 12-year-old boy, a dedicated cop is removed from his position. Forced to take work at a local cinema and beginning to lose his eyesight, he struggles to provide for his son.","['drama', 'thriller']","[sorrow, regret, empathy, tension, hope, determination, despair, redemption]",🙁😔😢😬🤞🏻💪🏻😫🔁
Pop Team Epic,"Crude, rude, and a little…cute? Get ready for the larger-than-life attitude of Popuko and Pipimi, the small and tall stars of Pop Team Epic! Based off the bizarre four-panel webcomic by Bukubu Okawa comes a comedy that’ll throw you off with its out-there jokes and intense absurdity. You think you’re ready for these girls? Think again, F#%**er!","['comedy', 'animation']","['humor', 'confusion', 'amusement', 'shock', 'disbelief', 'curiosity', 'absurdity', 'entertainment']",🤣🤔😄😱🤯🔍🤪🎭
The Last Kingdom,"A show of heroic deeds and epic battles with a thematic depth that embraces politics, religion, warfare, courage, love, loyalty and our universal search for identity. Combining real historical figures and events with fictional characters, it is the story of how a people combined their strength under one of the most iconic kings of history in order to reclaim their land for themselves and build a place they call home.","['action', 'drama', 'war', 'history', 'european']","[bravery, patriotism, determination, betrayal, love, loss, suspense, triumph]",🏰🗡️🛡️👑🏹💔🔥🎉
Salt Fat Acid Heat,"Chef and food writer Samin Nosrat travels the world to explore four basic keys to wonderful cooking, serving up feasts and helpful tips along the way.",['documentation'],"[inspiration, curiosity, hunger, joy, satisfaction, wanderlust, appreciation, empowerment]",🌎🍳🌍🥘🌏🍽️🌱🔥
Final Score,"When a stadium is seized by a group of heavily armed criminals during a major sporting event, an ex-soldier must use all his military skills to save both the daughter of a fallen comrade and the huge crowd unaware of the danger.","['action', 'drama', 'thriller']","[tension, adrenaline, suspense, fear, relief, determination, nostalgia, satisfaction]",🏟️🔫🔥👨‍👧💪🎖️👥🚁
A Home with a View,"A billboard wreaks havock in a Hong Kong family life. The Lo family live in an old  flat in the middle of a noisy neighborhood: father, mother, unemployed son, teenage daughter and his elderly, disabled father. Now a billboard is blocking their view and their already chaotic life becomes sheer madness.","['comedy', 'drama']","[humor, frustration, chaos, empathy, family bonds, resilience, hope, satisfaction]",🏢🤪🔇👨‍👩‍👧‍👦📢😂🤯👴👨‍🦽📺
Raat Akeli Hai,"When a newly married landlord is murdered, a misfit cop’s investigation is complicated by the victim’s secretive family and his own conflicted heart.","['crime', 'thriller', 'drama']","suspense, curiosity, intrigue, tension, mystery, confusion, empathy, satisfaction",🕵️‍♂️🔍🤔💔
Bon Cop Bad Cop 2,Ward and Bouchard must face an important car theft ring that turns out to be a lot more than they bargained for: one where the stolen cars will serve as bombs in a well planned terrorist attack.,"['crime', 'comedy', 'action']","[action, suspense, humor, tension, thrill, surprise, curiosity, relief]",🚗💣🔍🤣🔥😱😮😅
Namaste Wahala,A Nigerian woman and an Indian man won't let cultural differences get in the way of their romance.,"['comedy', 'drama', 'romance']","[joy, curiosity, cultural appreciation, laughter, empathy, hope, romance, unity]",😄🌍💑🎭🤣❤️🤝🌈
America's Next Top Model,Aspiring models compete for a chance to break into the business with a panel of judges critiquing their progress throughout the competition.,['reality'],"[competition, anticipation, hope, disappointment, determination, excitement, empowerment, insecurity]",💃🏻🌟👠👗💔🏆👑🤔
War of the Worlds,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.","['action', 'thriller', 'scifi']","[suspense, fear, tension, curiosity, hope, relief, shock, awe]",🌩️👽🌌🛸🚀🔥🤯🙌
Print the Legend,3D printing is changing the world – from printing guns and human organs to dismantling the world’s industrial infrastructure by enabling home manufacturing. The 3D Printing revolution has begun. Who will make it?,"['documentation', 'drama', 'history']","[curiosity, awe, anticipation, empowerment, concern, inspiration, fascination, contemplation]",🌍🖨️🔫🧠🏭🏠🌱🌟
El Reemplazante,A former high-ranking financial executive finds redemption and romance when he's paroled after a prison sentence and becomes a math teacher.,['drama'],"[redemption, hope, romance, inspiration, nostalgia, determination, empathy, fulfillment]",🔄💑🔢🏢🎓🔓❤️📈
The Summit of the Gods,A photojournalist’s obsessive quest for the truth about the first expedition to Mt. Everest leads him to search for an esteemed climber who went missing.,"['animation', 'thriller', 'drama', 'sport', 'history']","[intrigue, curiosity, suspense, awe, determination, mystery, anticipation, inspiration]",🧗‍♂️🔎🏔️📸🔍🧭💡🌟
The Bar,"In downtown Madrid, a series of mysterious gunshots trap a motley assortment of people in a decrepit bar.","['horror', 'thriller', 'comedy', 'fantasy', 'european']","[suspense, fear, humor, curiosity, surprise, tension, confusion, relief]",🧟‍♂️🔫🍻🤔😱😂🤷‍♂️😅
WWII in Color: Road to Victory,Gripping historical footage and expert commentary give detailed insights into the leading figures and decisive turning points of World War II.,"['documentation', 'war', 'history']","[nostalgia, fascination, tension, awe, pride, sadness, gratitude, determination]",🌍🔍💣🗡️🌟🇺🇸🙏🏼🔥
Seventeen,"To find a shelter dog he befriended, a 17-year-old boy escapes a juvenile detention center and is joined on his quest by his older brother.","['drama', 'european']","[hope, suspense, empathy, determination, brotherhood, redemption, thrill, resilience]",🏃‍♂️🐶🔎👬💪🏻🚔💔🌟
Down to Earth with Zac Efron,"Actor Zac Efron journeys around the world with wellness expert Darin Olien in a travel show that explores healthy, sustainable ways to live.","['documentation', 'history', 'reality']","[curiosity, inspiration, awe, gratitude, wanderlust, enlightenment, mindfulness, motivation]",🌍🌱🌿🌎🌍🌿🌱🌍
Ramprasad Ki Tehrvi,"Ramprasad's entire family gathers under one roof for 13 days after his death, to perform and observe the Hindu traditions and rituals called the tehrvi. During the course, the family’s dynamics, politics, and insecurities come out, and then they realise that the importance of people and things are only evident in retrospect.","['drama', 'family', 'comedy']","[nostalgia, humor, introspection, unity, grief, warmth, reflection, acceptance]",🏠👪💔🌺🤔😂🙏❤️
Rock On!!,"Aditya, Joe, Kedar and Rob form a rock band, but break up after they fail to make a success of it. They establish regular lives until they decide to reunite and take another shot at fulfilling their dreams.","['drama', 'music']","[nostalgia, determination, hope, regret, joy, inspiration, camaraderie, satisfaction]",🎸🎶🎤🤘👥💔💫🌟
Love Tactics,"An ad executive and a fashion designer-blogger don't believe in love, so they place a bet to make the other fall head over heels - with unusual tactics.","['comedy', 'romance']","[humor, curiosity, anticipation, romance, surprise, joy, affection, satisfaction]",🤣😮😍🕺💑🤔😊👌
Spinning Out,"Kat Baker is an up-and-coming, high-level single skater who is about to turn in her skates after a disastrous fall. When Kat seizes an opportunity to continue her career as a pair skater with a talented bad-boy partner, she risks exposing a fiercely kept secret that could unravel her entire life.","['drama', 'sport']","[tension, determination, fear, hope, anticipation, passion, suspense, triumph]",⛸️🔥🤫🌪️💔🌟🥇🎉
Reasonable Doubt: A Tale of Two Kidnappings,A fender bender that turned into a kidnapping case leads documentalist Roberto Hernández to expose the truth behind Mexico's flawed justice system.,"['crime', 'documentation']","[shock, suspense, frustration, empathy, anger, determination, hope, disbelief]",🚗🔍🔒🔍💔📽️🇲🇽💔
Black Crows,"This drama portrays women and kids living under the Islamic State group: a Yazidi slave, an undercover reporter, a recruited mom and child snipers.","['drama', 'war', 'thriller']","[shock, empathy, fear, anger, sadness, hope, intrigue, disgust]",😱😢😨😠😔🙏🔍😖
Chhota Bheem in the Incan Adventure,A huge bird swoops down and kidnaps Princess Indumati. The army's scoured the whole area and the neighboring kingdoms but there's no trace of Princess Indumati. The only thing Bheem finds was strange bird-feathers from the land of Incas. Bheem and team starts searching in the forests of Mexico where Dholu-Bholu fall off into a river. Bheem and others jump in to save them but are soon carried off by the rivers currents to the shores of a desolate valley. The valley is covered with heaps and heaps of ashes all around one such mound lie near the princess bangles. The sun rises and the mounds of ashes takes the shape of humans. The Incas where they meet Princess Indumati.,"['fantasy', 'animation']","[adventure, excitement, heroism, wonder, curiosity, suspense, joy, satisfaction]",🏞️🌊🔎🏰🌄🌟🕵️‍♂️👑
Heaven Official's Blessing,"Xie Lian, the crown prince of Xian Le Kingdom, successfully ascends to Heaven during his third trial in spite of successive demotions. However, he accidentally breaks the Gold Palace of heavenly officials. With no human worshiping him, Xie Lian has to descend to the secular world to exorcise ghosts, which may help him sustain his divinity.","['scifi', 'drama', 'action', 'animation']","[intrigue, nostalgia, humor, suspense, curiosity, empathy, awe, satisfaction]",🌟👑🏰👻💥🌌🙏✨
Queer Eye: We're in Japan!,"The team of Queer Eye take their gorgeous, uplifting make-over skills to the Land of the Rising Sun.",['reality'],"[joy, empowerment, cultural appreciation, inspiration, curiosity, laughter, acceptance, gratitude]",🌈🎉🌸🌟🇯🇵💖🤣🙏
Sooryavanshi,"A fearless, faithful albeit slightly forgetful Mumbai cop, Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India pulls out all the stops and stunts to thwart a major conspiracy to attack his city.","['action', 'thriller', 'crime']","[excitement, suspense, bravery, intrigue, patriotism, determination, adrenaline, thrill]",🚓💥🔥🇮🇳🕵️‍♂️🌆🧨👮‍♂️💪
Café Minamdang,A suspicious business that offers the services of a purportedly all-knowing shaman catches the attention of a tenacious police inspector.,"['drama', 'comedy', 'crime', 'thriller']","[suspense, curiosity, amusement, intrigue, skepticism, surprise, confusion, satisfaction]",🤔🔍😄🔮🧐😲🤷‍♀️😌
The Willoughbys,"When the four Willoughby children are abandoned by their selfish parents, they must learn how to adapt their Old-Fashioned values to the contemporary world in order to create something new: The Modern Family.","['comedy', 'fantasy', 'animation', 'drama', 'family']","['nostalgia', 'humor', 'compassion', 'hope', 'surprise', 'determination', 'joy', 'satisfaction']",🏰👨‍👩‍👧‍👦💡🌈🎉🌟🤣💪
Al Hayba,"In a village by the Lebanon-Syria border, the head of an arms-smuggling clan contends with family conflicts, power struggles and complicated love.","['drama', 'action', 'crime', 'romance', 'thriller']","[tension, suspense, love, loyalty, betrayal, conflict, intrigue, passion]",💔🔫🔥💘🔪💣🌹🌩
Loo Loo Kids Johny & Friends Musical Adventure,"Music-loving baby Johny goes on dance-filled adventures with his family, friends and adorable critters in this colorful, animated preschooler series. Watch all you want.",[],"[joy, excitement, curiosity, nostalgia, happiness, innocence, playfulness, warmth]",🎶👶🌈🐾🎵🎉🎊🎈🌟
Endless Love,"Two young kids fall in love with each other. But the passion is too consuming for the parents of Jade. The parents try to stop them from seeing each other. But when this doesn't work, David burns down the house and is sent away. This doesn't stop him from seeing her. When he gets out he goes to look for her. But the passion for his first love is too strong and she has to leave.","['romance', 'drama']","[love, desire, heartbreak, longing, rebellion, sadness, determination, perseverance]",💔🔥🚀🌹🏠🔥💔🚶‍♂️
Baby Mamas,The daily lives and loves of four professional women in South Africa who are all in different stages of their own real-life baby mama drama.,"['comedy', 'drama']","['humor', 'drama', 'relatability', 'friendship', 'heartwarming', 'frustration', 'hope', 'empowerment']",🤣🤔😂😍😡🤞🏽🙌🏼💪🏽
He-Man and the Masters of the Universe,"Eternia's Prince Adam discovers the power of Grayskull and transforms into He-Man, Master of the Universe. A reimagining of the classic animated series.","['animation', 'action', 'comedy', 'drama', 'family', 'fantasy', 'scifi']","[nostalgia, empowerment, nostalgia, humor, suspense, wonder, excitement, joy]",💪🎉🤣🤔🔥🚀👑🌈
Gurren Lagann,"In the distant future, mankind has lived quietly and restlessly underground for hundreds of years, subject to earthquakes and cave-ins. Living in one such village are 2 young men: one named Simon who is shy and naïve, and the other named Kamina who believes in the existence of a “surface” world above their heads.","['action', 'scifi', 'animation', 'comedy', 'drama']","[excitement, determination, hope, friendship, bravery, triumph, awe, inspiration]",🌌🔥👊🌟🚀🤩💪🌈
"ariana grande: excuse me, i love you",Ariana Grande takes the stage in London for her Sweetener World Tour and shares a behind-the-scenes look at her life in rehearsal and on the road.,"['documentation', 'music']","[inspiration, admiration, joy, nostalgia, empowerment, anticipation, connection, fulfillment]",🎤🎶🌟🎥🌍💕🎵👏
Rabbids Invasion - Mission To Mars,"When Nebulous Industries announces they are recruiting Rabbids for a mission to Mars, Hibernation Rabbid doesn’t think twice. As a genius Rabbid misunderstood by his stupid peers, he has always dreamed of going to the red planet. He takes off with three other Rabbids: Disco, the lively queen of the dance-floor, Cosmo, the pilot and Mini, the adorable tiny Rabbid. Facing an interplanetary space threat, our heroes will have to learn how to overcome their differences and understand that true wisdom comes from the heart!","['animation', 'comedy']","[humor, curiosity, silliness, teamwork]",🐰🚀🤣
Front Cover,"One man does all he can to veil his Asian heritage; the other takes great pains to hide his sexual orientation. Both of these things begin to change when Ryan is hired to prepare film star Ning for a fashion shoot, and the men develop a bond.","['drama', 'romance', 'comedy']","[identity, acceptance, friendship, empathy, humor, love, self-discovery, bravery]",🎭🌈📽️❤️🕵️‍♂️🌍🔍✨
The Joel McHale Show with Joel McHale,"Trending news, pop culture, social media, original videos and more come together in host Joel McHale's weekly comedy commentary show.",['comedy'],"[laughter, amusement, entertainment, nostalgia, curiosity, surprise, connection, satisfaction]",😂🤣🎭🔍🤔😱🤝👍
Midnight Diner: Tokyo Stories,An anthology of human relationship stories connected by the only open in the wee hours diner the characters frequent. Resolutions are often facilitated by the owner/chef.,['drama'],"[nostalgia, introspection, warmth, connection, empathy, melancholy, contentment, reflection]",🍽️🌃🚶‍♂️💔🌟👨‍🍳👥💡
Blood Diamond,"An ex-mercenary turned smuggler. A Mende fisherman. Amid the explosive civil war overtaking 1999 Sierra Leone, these men join for two desperate missions: recovering a rare pink diamond of immense value and rescuing the fisherman's son, conscripted as a child soldier into the brutal rebel forces ripping a swath of torture and bloodshed countrywide.","['drama', 'thriller', 'action']","[tension, empathy, anger, hope, fear, compassion, despair, determination]",💎🔫🌍👨‍👦‍👦🚁🔥💔💰🔨
ABCD 2,"Childhood friends Suresh and Vinnie want to become successful dancers. To fulfill their dreams, they form a dance group with their friends and compete in a hip-hop contest in Las Vegas.","['music', 'drama']","[inspiration, determination, joy, nostalgia, friendship, passion, competition, achievement]",💃🎵🌟🎉👯🔥🏆🎭
Chico Bon Bon: Monkey with a Tool Belt,STEM children's series focusing on construction and how mechanical things work.,['animation'],"[joy, curiosity, creativity, empowerment, amusement, inspiration, satisfaction, confidence]",🐵🔧👷🔨🏗️🚧🧩🎨
